한국어,로마자화,영어,일본어,중국어 간체,중국어 번체
팥빙수,patbingsu,Shaved Ice with Red Bean Topping,氷小豆,红豆刨冰,紅豆刨冰
인삼차,insamcha,Ginseng Tea,高麗人蔘茶,人参茶,人蔘茶
유자화채,yujahwachae,Citrus Punch,柚子ポンチ,柚子甜茶,柚子甜茶
유자차,yujacha,Citrus Tea,柚子茶,柚子茶,柚子茶
오미자화채,omijahwachae,Omija Punch,五味子ポンチ,五味子甜茶,五味子甜茶
쌍화차,ssanghwacha,Medicinal Herb Tea,双和茶,双和茶,雙和茶
식혜,sikhye,Sweet Rice Punch,シケ,甜米露,甜米露
수정과,sujeonggwa,Cinnamon Punch,スジョングァ,水正果（生姜桂皮茶）,水正果
생강차,saenggangcha,Ginger Tea,生姜茶,姜茶,薑茶
미숫가루,misutgaru,Roasted Grain Powder,ミスッカル,油茶面,油茶麵
모과차,mogwacha,Quince Tea,カリン茶,木梨茶,木梨茶
매실차,maesilcha,Green Plum Tea,梅茶,青梅茶,青梅茶
막걸리,makgeolli,Unrefined Rice Wine,マッコリ,马格利酒,馬格利酒
대추차,daechucha,Jujube Tea,なつめ茶,红枣茶,紅棗茶
단호박식혜,danhobaksikhye,Pumkin Sweet Rice Punch,かぼちゃのシケ,甜南瓜甜米露,甜南瓜甜米露
녹차,nokcha,Green Tea,緑茶,绿茶,綠茶
구기자차,gugijacha,Wolfberry Tea,クコの実茶,枸杞茶,枸杞茶
흑임자다식,heugimjadasik,Black Sesame Tea Confectionery,黒ゴマらくがん,黑芝麻茶食,黑芝麻茶食
약과,yakgwa,Honey Cookie,薬菓,药果（蜜油饼）,藥果
수삼정과,susamjeonggwa,Briased Ginseng in Sweet Sauce,生高麗人蔘の砂糖煮,水参蜜饯,水參蜜餞
송화다식,songhwadasik,Pine Flower Powder Tea Confectionery,松花粉らくがん,松花茶食,松花茶食
산자,sanja,Fried Rice Squares,四角い油菓,馓子油蜜果,馓子油蜜果
매작과,maejakgwa,Fried Twist,梅雀菓,梅雀果,梅雀果
도라지정과,dorajijeonggwa,Briased Bellflower Root in Sweet Sauce,桔梗の根の砂糖煮,桔梗蜜饯,桔梗蜜餞
다식,dasik,Tea Confectionery,らくがん,茶食,茶食
곶감,gotgam,Dried Whole Persimmon,干し柿,柿饼,柿餅
강정,Gangjeong,Sweet Rice Puffs,おこし,江米块,江米塊
감말랭이,gammallaengi,Dried Persimmon,干し柿のスライス,柿子干,柿子乾
화전,Hwajeon,Pan-fried Flower Rice Cake,花びらのチヂミ,花煎糕,花煎糕
호떡,hotteok,Syrup-filled Pancake,ホットク,糖饼,糖餅
찹쌀떡,chapssaltteok,Sweet Rice Cake with Red Bean Filling,あんこ餅,红豆馅糯米糕,紅豆餡糯米糕
증편,Jeungpyeon,Raised Rice Cake,発酵蒸し餅,发糕,發糕
절편,jeolpyeon,Patterned Rice Cake,型押し餅,片糕,片糕
인절미,injeolmi,Bean-powder-coated Rice Cake,黄な粉餅,打糕,打糕
약식,Yaksik,Sweet Rice with Nuts and Jujubes,おこわ,韩式八宝饭,韓式八寶飯
쑥떡,ssuktteok,Mugwort Rice Cake,よもぎ餅,艾草糕,艾草糕
시루떡,sirutteok,Steamed Rice Cake,シルトク,蒸糕,蒸糕
수수팥떡,susupattteok,Red-bean-coated Millet Rice Cake,小豆きび餅,红豆高粱糕,紅豆高粱糕
송편,songpyeon,Half-moon Rice Cake,ソンピョン,松糕,松糕
백설기,Baekseolgi,Snow White Rice Cake,蒸し餅,白雪糕,白雪糕
무지개떡,mujigaetteok,Rainbow Rice Cake,虹色のシルトク,彩虹糕,彩虹糕
녹두시루떡,nokdusirutteok,Mung Bean Steamed Rice Cake,緑豆のシルトク,绿豆蒸糕,綠豆蒸糕
꿀떡,Kkultteok,Honey-filled Rice Cake,蜂蜜餅,蜜糕,蜜糕
깨경단,kkaegyeongdan,Sesame Sweet Rice Balls,ゴマ団子,芝麻琼团糕,芝麻瓊團糕
경단,gyeongdan,Sweet Rice Balls,団子,琼团糕,瓊團糕
감자떡,Gamjatteok,Potato Cake,じゃがいも餅,土豆糕,土豆糕
가래떡,garaetteok,Rice Cake Stick,カレトク,长条年糕,長條年糕
채만두,Chaemandu,Buckwheat Dumpling,そば餃子,荞麦素饺,蕎麥素餃
왕만두,wangmandu,Jumbo Sized Dumpling,王餃子,大包子,大包子
송어만두,Songeomandu,Trout Dumpling,マス餃子,鳟鱼饺子,鱒魚餃子
물만두,mulmandu,Boiled Dumpling,水餃子,水饺,水餃
만둣국,Mandutguk,Dumpling Soup,餃子スープ,饺子汤,餃子湯
만두,Mandu,Dumplings,餃子,饺子,餃子
